"DateTime","Заражений за день","Выздоровлений за день","Смертей за день"
2020-04-02 00:00:00,771,45,6
2020-04-03 00:00:00,601,46,4
2020-04-04 00:00:00,582,52,9
2020-04-05 00:00:00,658,22,2
2020-04-06 00:00:00,954,51,2
2020-04-07 00:00:00,1154,88,11
2020-04-08 00:00:00,1175,86,5
2020-04-09 00:00:00,1459,118,13
2020-04-10 00:00:00,1786,97,18
2020-04-11 00:00:00,1667,250,12
2020-04-12 00:00:00,2175,246,24
2020-04-13 00:00:00,2569,179,18
2020-04-14 00:00:00,2774,224,22
2020-04-15 00:00:00,3388,292,28
2020-04-16 00:00:00,3448,318,34
2020-04-17 00:00:00,4070,286,41
2020-04-18 00:00:00,4785,467,40
2020-04-19 00:00:00,6060,234,48
2020-04-20 00:00:00,4268,155,44
2020-04-21 00:00:00,5642,427,51
2020-04-22 00:00:00,5236,547,57
2020-04-23 00:00:00,4774,471,42
2020-04-24 00:00:00,5849,677,60
2020-04-25 00:00:00,5966,682,66
2020-04-26 00:00:00,6361,517,62
2020-04-27 00:00:00,6198,579,50
2020-04-28 00:00:00,6411,1110,71
2020-04-29 00:00:00,5841,1830,108
2020-04-30 00:00:00,7099,1333,101
2020-05-01 00:00:00,7933,1601,92
2020-05-02 00:00:00,9623,1793,57
2020-05-03 00:00:00,10633,1626,58
2020-05-04 00:00:00,10581,1456,76
2020-05-05 00:00:00,10102,1770,95
2020-05-06 00:00:00,10559,1462,86
2020-05-07 00:00:00,11231,2476,88
2020-05-08 00:00:00,10699,2805,98
2020-05-09 00:00:00,10817,5308,104
2020-05-10 00:00:00,11012,2390,88
2020-05-11 00:00:00,11656,5495,94
2020-05-12 00:00:00,10899,3711,107
2020-05-13 00:00:00,10028,4491,96
2020-05-14 00:00:00,9974,5527,93
2020-05-15 00:00:00,10598,4696,113
2020-05-16 00:00:00,9200,4940,119
2020-05-17 00:00:00,9709,4207,94
2020-05-18 00:00:00,8926,2836,91
2020-05-19 00:00:00,9263,5921,115
2020-05-20 00:00:00,8764,9262,135
2020-05-21 00:00:00,8849,7289,127
2020-05-22 00:00:00,8894,7144,150
2020-05-23 00:00:00,9434,8111,139
2020-05-24 00:00:00,8599,5363,153
2020-05-25 00:00:00,8946,5499,92
2020-05-26 00:00:00,8915,12331,174
2020-05-27 00:00:00,8338,11079,161
2020-05-28 00:00:00,8371,8785,174
2020-05-29 00:00:00,8572,8264,232
2020-05-30 00:00:00,8952,8212,181
2020-05-31 00:00:00,9268,4414,138
2020-06-01 00:00:00,9035,3994,162
2020-06-02 00:00:00,8863,11108,182
2020-06-03 00:00:00,8536,8972,178
2020-06-04 00:00:00,8831,8666,169
2020-06-05 00:00:00,8726,8057,144
2020-06-06 00:00:00,8855,8708,197
2020-06-07 00:00:00,8984,5343,134
2020-06-08 00:00:00,8985,3957,112
2020-06-09 00:00:00,8595,11709,171
2020-06-10 00:00:00,8404,10386,216
2020-06-11 00:00:00,8779,8367,174
2020-06-12 00:00:00,8987,8220,183
2020-06-13 00:00:00,8706,5271,114
2020-06-14 00:00:00,8835,5409,119
2020-06-15 00:00:00,8246,4489,143
2020-06-16 00:00:00,8248,9767,193
2020-06-17 00:00:00,7843,10036,194
2020-06-18 00:00:00,7790,9621,182
2020-06-19 00:00:00,7972,10443,181
2020-06-20 00:00:00,7889,10186,161
2020-06-21 00:00:00,7728,5119,109
2020-06-22 00:00:00,7600,4705,95
2020-06-23 00:00:00,7425,12013,153
2020-06-24 00:00:00,7176,12393,154
2020-06-25 00:00:00,7113,6342,92
2020-06-26 00:00:00,6800,8988,176
2020-06-27 00:00:00,6852,9200,188
2020-06-28 00:00:00,6791,5735,104
2020-06-29 00:00:00,6719,4343,93
2020-06-30 00:00:00,6693,9220,154
2020-07-01 00:00:00,6556,10281,216
2020-07-02 00:00:00,6760,6047,147
2020-07-03 00:00:00,6718,8915,176
2020-07-04 00:00:00,6632,8986,168
2020-07-05 00:00:00,6736,3871,134
2020-07-06 00:00:00,6611,3579,135
2020-07-07 00:00:00,6368,9551,198
2020-07-08 00:00:00,6562,8631,173
2020-07-09 00:00:00,6509,8805,176
2020-07-10 00:00:00,6635,7752,174
2020-07-11 00:00:00,6611,8378,188
2020-07-12 00:00:00,6615,3615,130
2020-07-13 00:00:00,6537,2960,104
2020-07-14 00:00:00,6248,8804,175
2020-07-15 00:00:00,6422,10424,156
2020-07-16 00:00:00,6428,8443,167
2020-07-17 00:00:00,6406,7681,186
2020-07-18 00:00:00,6234,7490,124
2020-07-19 00:00:00,6109,3481,95
2020-07-20 00:00:00,5940,3258,85
2020-07-21 00:00:00,5842,8782,153
2020-07-22 00:00:00,5862,9669,165
2020-07-23 00:00:00,5848,8277,147
2020-07-24 00:00:00,5811,8444,154
2020-07-25 00:00:00,5871,8366,146
2020-07-26 00:00:00,5765,3110,77
2020-07-27 00:00:00,5635,3079,85
2020-07-28 00:00:00,5395,8888,150
2020-07-29 00:00:00,5475,8116,169
2020-07-30 00:00:00,5509,9322,129
2020-07-31 00:00:00,5482,8755,161
2020-08-01 00:00:00,5462,8114,95
2020-08-02 00:00:00,5427,3649,70
2020-08-03 00:00:00,5394,3420,79
2020-08-04 00:00:00,5159,7878,144
2020-08-05 00:00:00,5204,7555,139
2020-08-06 00:00:00,5267,7331,116
2020-08-07 00:00:00,5241,7235,119
2020-08-08 00:00:00,5212,6615,129
2020-08-09 00:00:00,5189,3215,77
2020-08-10 00:00:00,5118,3259,70
2020-08-11 00:00:00,4945,6494,130
2020-08-12 00:00:00,5102,7123,129
2020-08-13 00:00:00,5057,6098,124
2020-08-14 00:00:00,5065,6568,114
2020-08-15 00:00:00,5061,6447,119
2020-08-16 00:00:00,4969,3557,68
2020-08-17 00:00:00,4892,3133,55
2020-08-18 00:00:00,4748,6527,132
2020-08-19 00:00:00,4828,6795,117
2020-08-20 00:00:00,4785,6090,110
2020-08-21 00:00:00,4870,5817,90
2020-08-22 00:00:00,4921,6147,121
2020-08-23 00:00:00,4852,3162,73
2020-08-24 00:00:00,4744,2456,65
2020-08-25 00:00:00,4696,6652,120
2020-08-26 00:00:00,4676,6403,115
2020-08-27 00:00:00,4711,6411,121
2020-08-28 00:00:00,4829,5905,110
2020-08-29 00:00:00,4941,5917,111
2020-08-30 00:00:00,4980,2599,68
2020-08-31 00:00:00,4993,2405,83
2020-09-01 00:00:00,4729,6318,123
2020-09-02 00:00:00,4952,5464,115
2020-09-03 00:00:00,4995,5766,114
2020-09-04 00:00:00,5110,5812,121
2020-09-05 00:00:00,5205,5379,110
2020-09-06 00:00:00,5195,2823,61
2020-09-07 00:00:00,5185,2328,51
2020-09-08 00:00:00,5099,6772,122
2020-09-09 00:00:00,5218,6409,142
2020-09-10 00:00:00,5363,5915,128
2020-09-11 00:00:00,5504,5734,102
2020-09-12 00:00:00,5488,5428,119
2020-09-13 00:00:00,5449,2690,94
2020-09-14 00:00:00,5509,2475,57
2020-09-15 00:00:00,5529,5605,150
2020-09-16 00:00:00,5670,5809,132
2020-09-17 00:00:00,5762,5754,144
2020-09-18 00:00:00,5905,5339,134
2020-09-19 00:00:00,6065,5255,144
2020-09-20 00:00:00,6148,2895,79
2020-09-21 00:00:00,6196,2616,71
2020-09-22 00:00:00,6215,5976,160
2020-09-23 00:00:00,6431,5750,150
2020-09-24 00:00:00,6595,6130,149
2020-09-25 00:00:00,7212,4317,108
2020-09-26 00:00:00,7523,6004,169
2020-09-27 00:00:00,7867,3068,99
2020-09-28 00:00:00,8135,2702,61
2020-09-29 00:00:00,8232,6479,160
2020-09-30 00:00:00,8481,5858,177
2020-10-01 00:00:00,8945,5985,169
2020-10-02 00:00:00,9412,6054,186
2020-10-03 00:00:00,9859,5563,174
2020-10-04 00:00:00,10499,3284,107
2020-10-05 00:00:00,10888,3181,117
2020-10-06 00:00:00,11615,6252,188
2020-10-07 00:00:00,11115,6699,202
2020-10-08 00:00:00,11493,7054,191
2020-10-09 00:00:00,12126,7092,201
2020-10-10 00:00:00,12846,6781,191
2020-10-11 00:00:00,13634,4240,149
2020-10-12 00:00:00,13592,3793,125
2020-10-13 00:00:00,13868,7550,244
2020-10-14 00:00:00,14231,7920,239
2020-10-15 00:00:00,13754,8392,286
2020-10-16 00:00:00,15150,8485,232
2020-10-17 00:00:00,14922,8617,279
2020-10-18 00:00:00,15099,5377,185
2020-10-19 00:00:00,15982,5328,179
2020-10-20 00:00:00,16319,9704,269
2020-10-21 00:00:00,15700,10952,317
2020-10-22 00:00:00,15971,11428,290
2020-10-23 00:00:00,17340,11263,283
2020-10-24 00:00:00,16521,11567,296
2020-10-25 00:00:00,16710,7704,229
2020-10-26 00:00:00,17347,7574,219
2020-10-27 00:00:00,16550,12844,320
2020-10-28 00:00:00,16202,12361,346
2020-10-29 00:00:00,17717,14740,366
2020-10-30 00:00:00,18283,14519,355
2020-10-31 00:00:00,18140,14854,334
2020-11-01 00:00:00,18665,10259,245
2020-11-02 00:00:00,18257,10360,238
2020-11-03 00:00:00,18648,15331,355
2020-11-04 00:00:00,19768,15567,389
2020-11-05 00:00:00,19404,12238,292
2020-11-06 00:00:00,20582,16955,378
2020-11-07 00:00:00,20396,16803,364
2020-11-08 00:00:00,20498,11492,286
2020-11-09 00:00:00,21798,10722,256
2020-11-10 00:00:00,20977,15600,368
2020-11-11 00:00:00,19851,18616,432
2020-11-12 00:00:00,21608,18811,439
2020-11-13 00:00:00,21983,18735,411
2020-11-14 00:00:00,22702,18626,391
2020-11-15 00:00:00,22572,14456,352
2020-11-16 00:00:00,22778,13864,303
2020-11-17 00:00:00,22410,22055,442
2020-11-18 00:00:00,20985,25179,456
2020-11-19 00:00:00,23610,25573,463
2020-11-20 00:00:00,24318,24758,461
2020-11-21 00:00:00,24822,26021,467
2020-11-22 00:00:00,24581,18008,401
2020-11-23 00:00:00,25173,16002,361
2020-11-24 00:00:00,24326,23226,491
2020-11-25 00:00:00,23675,25748,507
2020-11-26 00:00:00,25487,25073,524
2020-11-27 00:00:00,27543,26682,496
2020-11-28 00:00:00,27100,27296,510
2020-11-29 00:00:00,26683,21987,459
2020-11-30 00:00:00,26338,17247,368
2020-12-01 00:00:00,26402,24763,569
2020-12-02 00:00:00,25345,26882,589
2020-12-03 00:00:00,28145,29502,554
2020-12-04 00:00:00,27403,28901,569
2020-12-05 00:00:00,28782,27644,508
2020-12-06 00:00:00,29039,21342,457
2020-12-07 00:00:00,28142,18850,456
2020-12-08 00:00:00,26097,24938,562
2020-12-09 00:00:00,26190,26266,559
2020-12-10 00:00:00,27927,25877,562
2020-12-11 00:00:00,28585,26171,613
2020-12-12 00:00:00,28137,26118,560
2020-12-13 00:00:00,28080,20277,488
2020-12-14 00:00:00,27328,18562,450
2020-12-15 00:00:00,26689,24813,577
2020-12-16 00:00:00,26509,26490,596
2020-12-17 00:00:00,28214,26440,587
2020-12-18 00:00:00,28552,26093,611
2020-12-19 00:00:00,28209,26109,585
2020-12-20 00:00:00,28948,20915,511
2020-12-21 00:00:00,29350,19705,493
2020-12-22 00:00:00,28776,24158,561
2020-12-23 00:00:00,27250,24447,549
2020-12-24 00:00:00,29935,26890,635
2020-12-25 00:00:00,29018,27397,563
2020-12-26 00:00:00,29258,28185,567
2020-12-27 00:00:00,28284,24390,552
2020-12-28 00:00:00,27787,20480,487
2020-12-29 00:00:00,27002,24874,562
2020-12-30 00:00:00,26513,29235,599
2020-12-31 00:00:00,27747,28922,593
2021-01-01 00:00:00,27039,25798,536
2021-01-02 00:00:00,26301,18897,447
2021-01-03 00:00:00,24150,19847,504
2021-01-04 00:00:00,23351,21154,482
2021-01-05 00:00:00,24246,22632,518
2021-01-06 00:00:00,24217,23055,445
2021-01-07 00:00:00,23541,23729,506
2021-01-08 00:00:00,23652,21677,454
2021-01-09 00:00:00,23309,23680,470
2021-01-10 00:00:00,22851,24080,456
2021-01-11 00:00:00,23315,21786,436
2021-01-12 00:00:00,22934,24755,531
2021-01-13 00:00:00,22850,28658,566
2021-01-14 00:00:00,24763,27956,570
2021-01-15 00:00:00,24715,27636,555
2021-01-16 00:00:00,24092,27311,590
2021-01-17 00:00:00,23586,23440,481
2021-01-18 00:00:00,22857,18333,471
2021-01-19 00:00:00,21734,23262,586
2021-01-20 00:00:00,21152,25290,597
2021-01-21 00:00:00,21887,26902,612
2021-01-22 00:00:00,21513,27318,580
2021-01-23 00:00:00,20921,27779,559
2021-01-24 00:00:00,21127,22445,491
2021-01-25 00:00:00,19290,19003,456
2021-01-26 00:00:00,18241,23798,564
2021-01-27 00:00:00,17741,27922,594
2021-01-28 00:00:00,19138,26775,575
2021-01-29 00:00:00,19238,26204,534
2021-01-30 00:00:00,19032,24502,512
2021-01-31 00:00:00,18359,20040,485
2021-02-01 00:00:00,17648,18169,437
2021-02-02 00:00:00,16643,22372,539
2021-02-03 00:00:00,16474,24822,526
2021-02-04 00:00:00,16714,24546,521
2021-02-05 00:00:00,16688,23582,527
2021-02-06 00:00:00,16627,22831,497
2021-02-07 00:00:00,16048,19884,432
2021-02-08 00:00:00,15916,15881,407
2021-02-09 00:00:00,15019,21795,530
